block,config,seed,n_train_steps,condition,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
long_training,structural_n200000,3,200000,structural,-0.0002791685692500323,-0.00019288672774564475,8.628184150438756e-05,0.3312736451625824,0.36279296875,9.681830202054698
long_training,structural_n200000,4,200000,structural,-0.00026649280334822834,-0.00018855724192690104,7.793556142132729e-05,0.35130876302719116,0.40185546875,9.797484640032053
long_training,stdp_only_n200000,0,200000,stdp_only,-0.0002585904148872942,-0.00018858643306884915,7.000398181844503e-05,0.2473835051059723,0.4088134765625,5.559731101966463
long_training,stdp_only_n200000,1,200000,stdp_only,-0.0002678088203538209,-0.0001901375944726169,7.767122588120401e-05,0.2086835503578186,0.401123046875,5.646161718002986
long_training,stdp_only_n200000,2,200000,stdp_only,-0.0002715807349886745,-0.00019764585886150599,7.393487612716854e-05,0.25047364830970764,0.3956298828125,5.4807473460095935
long_training,stdp_only_n200000,3,200000,stdp_only,-0.0002791685692500323,-0.00019017986778635532,8.898870146367699e-05,0.23790553212165833,0.396728515625,5.489127020991873
long_training,stdp_only_n200000,4,200000,stdp_only,-0.00026649280334822834,-0.0001884683151729405,7.802448817528784e-05,0.19771045446395874,0.4075927734375,5.378010767977685
long_training,structural_n500000,0,500000,structural,-0.0002585904148872942,-0.00017871767340693623,7.987274148035794e-05,0.5731009244918823,0.50634765625,20.866791416017804
long_training,structural_n500000,1,500000,structural,-0.0002678088203538209,-0.00017960766854230314,8.820115181151778e-05,0.6838347911834717,0.5032958984375,20.25385268701939
long_training,structural_n500000,2,500000,structural,-0.0002715807349886745,-0.00012618687469512224,0.00014539386029355228,1.6243789196014404,0.578125,20.25954219402047
long_training,structural_n500000,3,500000,structural,-0.0002791685692500323,-0.0001857415190897882,9.342705016024411e-05,0.4914000630378723,0.408203125,20.332859629008453
long_training,structural_n500000,4,500000,structural,-0.00026649280334822834,-0.00016748534108046442,9.900746226776391e-05,1.0730822086334229,0.5860595703125,20.296708025969565
long_training,stdp_only_n500000,0,500000,stdp_only,-0.0002585904148872942,-0.0001938117202371359,6.477869465015829e-05,0.19036175310611725,0.4088134765625,11.675346506992355
long_training,stdp_only_n500000,1,500000,stdp_only,-0.0002678088203538209,-0.00018797074153553694,7.983807881828398e-05,0.19987589120864868,0.401123046875,11.637735493015498
long_training,stdp_only_n500000,2,500000,stdp_only,-0.0002715807349886745,-0.00018396048108115792,8.76202539075166e-05,0.35522282123565674,0.3956298828125,11.967518073972315
long_training,stdp_only_n500000,3,500000,stdp_only,-0.0002791685692500323,-0.00019477689056657255,8.439167868345976e-05,0.21167010068893433,0.396728515625,12.088757035962772
long_training,stdp_only_n500000,4,500000,stdp_only,-0.00026649280334822834,-0.00018509278015699238,8.140002319123596e-05,0.3442921042442322,0.4075927734375,11.616985492990352
