block,config,seed,acq_prob,fit_before,fit_after,delta,v_mean,v_std,active_frac_end,cross_e_frac_end,wall_sec
acq_probability,acq_prob_3e-02,0,0.03,-0.0002585904148872942,-0.00022272623027674854,3.5864184610545635e-05,0.8510540723800659,0.34073448181152344,1.0,0.40625,4.490483739005867
acq_probability,acq_prob_3e-02,1,0.03,-0.0002678088203538209,-0.0002248294767923653,4.297934356145561e-05,0.8552465438842773,0.3421476185321808,1.0,0.39697265625,4.47057029401185
acq_probability,acq_prob_3e-02,2,0.03,-0.0002715807349886745,-0.00022756656107958406,4.401417390909046e-05,0.844447135925293,0.34514912962913513,1.0,0.391845703125,4.495700410974678
acq_probability,acq_prob_3e-02,3,0.03,-0.0002791685692500323,-0.0002368761197431013,4.229244950693101e-05,0.8623656630516052,0.3349939286708832,1.0,0.3958740234375,4.520541589008644
acq_probability,acq_prob_3e-02,4,0.03,-0.00026649280334822834,-0.00022285434533841908,4.3638458009809256e-05,0.8366414308547974,0.35373979806900024,1.0,0.40234375,4.47246029402595
acq_probability,acq_prob_1e-01,0,0.1,-0.0002585904148872942,-0.00022740526765119284,3.118514723610133e-05,0.8478720188140869,0.3434281349182129,1.0,0.406005859375,4.622505581995938
acq_probability,acq_prob_1e-01,1,0.1,-0.0002678088203538209,-0.00022576756600756198,4.204125434625894e-05,0.8606618642807007,0.3410165011882782,1.0,0.3978271484375,4.473892014008015
acq_probability,acq_prob_1e-01,2,0.1,-0.0002715807349886745,-0.00022704362345393747,4.453711153473705e-05,0.8474721908569336,0.3467353284358978,1.0,0.3917236328125,4.493764045997523
acq_probability,acq_prob_1e-01,3,0.1,-0.0002791685692500323,-0.00023568417236674577,4.3484396883286536e-05,0.8667579889297485,0.33073800802230835,1.0,0.395751953125,4.472187171981204
acq_probability,acq_prob_1e-01,4,0.1,-0.00026649280334822834,-0.00022162239474710077,4.4870408601127565e-05,0.8461217880249023,0.3482654392719269,1.0,0.4041748046875,4.527476898045279
