block,config,seed,acq_mode,pre_id_source,acq_initial_v,release_threshold,release_duration,fit_before,fit_after,delta,v_mean,v_std,active_frac_end,cross_e_frac_end,active_frac_min,valence_mean,wall_sec
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur1000,1,periodic,uniform,1.8,0.05,1000,-0.0002678088203538209,-0.00022869517852086574,3.911364183295518e-05,0.878659188747406,0.34836480021476746,1.0,0.3974609375,0.998291015625,0.24763455986976624,4.589694817026611
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur1000,2,periodic,uniform,1.8,0.05,1000,-0.0002715807349886745,-0.0002272368292324245,4.4343905756250024e-05,0.8650683164596558,0.35066768527030945,1.0,0.393798828125,0.9981689453125,0.2499896138906479,4.47547270799987
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur1000,3,periodic,uniform,1.8,0.05,1000,-0.0002791685692500323,-0.00023706784122623503,4.2100728023797274e-05,0.8782802224159241,0.3426031768321991,1.0,0.39404296875,0.998291015625,0.2380731850862503,4.423402593005449
step17_factorial,periodic_uniform_iv1.8_thr0.05_dur1000,4,periodic,uniform,1.8,0.05,1000,-0.00026649280334822834,-0.00022895264555700123,3.75401577912271e-05,0.8705008029937744,0.3629326820373535,1.0,0.404052734375,0.9971923828125,0.25241780281066895,4.549427104007918
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur200,0,periodic,uniform,1.8,0.2,200,-0.0002585904148872942,-0.00022081729548517615,3.777311940211803e-05,0.9129425883293152,0.3707374930381775,1.0,0.400634765625,0.9949951171875,0.25750306248664856,4.403744461946189
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur200,1,periodic,uniform,1.8,0.2,200,-0.0002678088203538209,-0.0002308517141500488,3.695710620377213e-05,0.9075320959091187,0.34796974062919617,1.0,0.39501953125,0.9964599609375,0.24524910748004913,4.540441841993015
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur200,2,periodic,uniform,1.8,0.2,200,-0.0002715807349886745,-0.00022714286751579493,4.443786747287959e-05,0.9090251326560974,0.3576599955558777,1.0,0.3883056640625,0.995361328125,0.24891804158687592,4.422165243013296
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur200,3,periodic,uniform,1.8,0.2,200,-0.0002791685692500323,-0.00023328106908593327,4.588750016409904e-05,0.9044044017791748,0.34141090512275696,1.0,0.39453125,0.996826171875,0.23821191489696503,4.43946203798987
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur200,4,periodic,uniform,1.8,0.2,200,-0.00026649280334822834,-0.0002296389575349167,3.6853845813311636e-05,0.914421558380127,0.3710614740848541,1.0,0.39892578125,0.99560546875,0.25104764103889465,4.4193470510072075
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur1000,0,periodic,uniform,1.8,0.2,1000,-0.0002585904148872942,-0.00022036097652744502,3.8229438359849155e-05,0.9196704030036926,0.3724309504032135,1.0,0.4036865234375,0.9945068359375,0.258104145526886,4.421066477021668
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur1000,1,periodic,uniform,1.8,0.2,1000,-0.0002678088203538209,-0.00022671360056847334,4.109521978534758e-05,0.9118801951408386,0.3500099778175354,1.0,0.39599609375,0.996826171875,0.24539315700531006,4.559630792995449
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur1000,2,periodic,uniform,1.8,0.2,1000,-0.0002715807349886745,-0.00023679861624259502,3.4782118746079504e-05,0.9080674052238464,0.3594825267791748,1.0,0.3876953125,0.995361328125,0.24833300709724426,4.406822662975173
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur1000,3,periodic,uniform,1.8,0.2,1000,-0.0002791685692500323,-0.0002335621538804844,4.5606415369547904e-05,0.904574990272522,0.3469698429107666,0.9998779296875,0.3924560546875,0.9971923828125,0.23807547986507416,4.4148537869914435
step17_factorial,periodic_uniform_iv1.8_thr0.20_dur1000,4,periodic,uniform,1.8,0.2,1000,-0.00026649280334822834,-0.0002273917489219457,3.9101054426282644e-05,0.9143261909484863,0.3688274919986725,1.0,0.3975830078125,0.9940185546875,0.25134173035621643,4.504936671990436
step17_factorial,periodic_hebbian_iv0.2_thr0.05_dur200,0,periodic,hebbian,0.2,0.05,200,-0.0002585904148872942,-0.0002198095608036965,3.878085408359766e-05,0.8533097505569458,0.3426496684551239,1.0,0.4068603515625,0.998046875,0.2555285096168518,5.2914656510110945
step17_factorial,periodic_hebbian_iv0.2_thr0.05_dur200,1,periodic,hebbian,0.2,0.05,200,-0.0002678088203538209,-0.0002259402972413227,4.1868523112498224e-05,0.851580023765564,0.3465535044670105,1.0,0.39892578125,0.997314453125,0.2506699860095978,5.341602816013619
step17_factorial,periodic_hebbian_iv0.2_thr0.05_dur200,2,periodic,hebbian,0.2,0.05,200,-0.0002715807349886745,-0.000224170129513368,4.741060547530651e-05,0.8482013940811157,0.34381696581840515,1.0,0.39453125,0.998046875,0.2511080503463745,5.311477646988351
step17_factorial,periodic_hebbian_iv0.2_thr0.05_dur200,3,periodic,hebbian,0.2,0.05,200,-0.0002791685692500323,-0.00023973750649020076,3.943106275983155e-05,0.8631922006607056,0.33625075221061707,1.0,0.39599609375,0.997802734375,0.23582138121128082,6.132019990007393
step17_factorial,periodic_hebbian_iv0.2_thr0.05_dur200,4,periodic,hebbian,0.2,0.05,200,-0.00026649280334822834,-0.00022224873828236014,4.42440650658682e-05,0.834454357624054,0.3606225252151489,1.0,0.402587890625,0.99658203125,0.253858745098114,5.137130110990256
step17_factorial,periodic_hebbian_iv0.2_thr0.05_dur1000,0,periodic,hebbian,0.2,0.05,1000,-0.0002585904148872942,-0.00022241906845010817,3.6171346437186e-05,0.8454859256744385,0.34981483221054077,1.0,0.4066162109375,0.997802734375,0.2569712698459625,5.152133615978528
