[2026-05-05T00:26:00+00:00] block 12 fGn N=100 sweep: H=[0.3, 0.5, 0.7, 0.9], N=100 seeds, 2 conditions per (seed, H)
[2026-05-05T00:26:00+00:00] device: gpu / cuda:0
[2026-05-05T00:26:00+00:00] already complete: 0 / 800
[2026-05-05T00:26:49+00:00]   done seed=2553 H=0.3 closed_loop track=-3.794e-06 pred=-1.229e-05 lag1=-0.430 wall=0.4s
[2026-05-05T00:26:49+00:00]   done seed=2590 H=0.3 open_loop track=-8.093e-05 pred=-8.471e-05 lag1=-0.321 wall=0.3s
[2026-05-05T00:26:50+00:00]   done seed=2590 H=0.3 closed_loop track=-5.100e-06 pred=-8.066e-06 lag1=-0.321 wall=0.4s
[2026-05-05T00:26:50+00:00]   done seed=2627 H=0.3 open_loop track=-8.037e-05 pred=-8.494e-05 lag1=-0.185 wall=0.3s
[2026-05-05T00:26:50+00:00]   done seed=2627 H=0.3 closed_loop track=-2.419e-06 pred=-9.013e-06 lag1=-0.185 wall=0.4s
[2026-05-05T00:26:51+00:00]   done seed=2664 H=0.3 open_loop track=-7.768e-05 pred=-8.586e-05 lag1=-0.196 wall=0.3s
[2026-05-05T00:26:51+00:00]   done seed=2664 H=0.3 closed_loop track=-5.707e-06 pred=-1.412e-05 lag1=-0.196 wall=0.4s
[2026-05-05T00:26:51+00:00]   done seed=2701 H=0.3 open_loop track=-9.247e-05 pred=-9.075e-05 lag1=-0.334 wall=0.3s
[2026-05-05T00:26:52+00:00]   done seed=2701 H=0.3 closed_loop track=-8.194e-06 pred=-5.500e-06 lag1=-0.334 wall=0.4s
[2026-05-05T00:26:52+00:00]   done seed=2738 H=0.3 open_loop track=-8.851e-05 pred=-8.974e-05 lag1=-0.108 wall=0.3s
[2026-05-05T00:26:52+00:00]   done seed=2738 H=0.3 closed_loop track=-9.063e-06 pred=-7.376e-06 lag1=-0.108 wall=0.4s
[2026-05-05T00:26:53+00:00]   done seed=2775 H=0.3 open_loop track=-8.186e-05 pred=-8.559e-05 lag1=-0.506 wall=0.3s
[2026-05-05T00:26:53+00:00]   done seed=2775 H=0.3 closed_loop track=-6.710e-06 pred=-5.818e-06 lag1=-0.506 wall=0.4s
[2026-05-05T00:26:53+00:00]   done seed=2812 H=0.3 open_loop track=-8.917e-05 pred=-9.387e-05 lag1=-0.369 wall=0.3s
[2026-05-05T00:26:54+00:00]   done seed=2812 H=0.3 closed_loop track=-1.071e-05 pred=-7.710e-06 lag1=-0.369 wall=0.4s
[2026-05-05T00:26:54+00:00]   done seed=2849 H=0.3 open_loop track=-8.625e-05 pred=-9.315e-05 lag1=-0.013 wall=0.3s
[2026-05-05T00:26:54+00:00]   done seed=2849 H=0.3 closed_loop track=-4.651e-07 pred=-1.178e-05 lag1=-0.013 wall=0.4s
[2026-05-05T00:26:55+00:00]   done seed=2886 H=0.3 open_loop track=-7.819e-05 pred=-8.242e-05 lag1=-0.225 wall=0.3s
[2026-05-05T00:26:55+00:00]   done seed=2886 H=0.3 closed_loop track=-3.306e-06 pred=-7.563e-06 lag1=-0.225 wall=0.4s
[2026-05-05T00:26:55+00:00]   done seed=2923 H=0.3 open_loop track=-7.458e-05 pred=-7.933e-05 lag1=-0.107 wall=0.3s
[2026-05-05T00:26:56+00:00]   done seed=2923 H=0.3 closed_loop track=-5.217e-06 pred=-1.552e-05 lag1=-0.107 wall=0.4s
[2026-05-05T00:26:56+00:00]   done seed=2960 H=0.3 open_loop track=-7.595e-05 pred=-8.245e-05 lag1=-0.191 wall=0.3s
[2026-05-05T00:26:56+00:00]   done seed=2960 H=0.3 closed_loop track=-2.695e-06 pred=-1.117e-05 lag1=-0.191 wall=0.4s
[2026-05-05T00:26:57+00:00]   done seed=2997 H=0.3 open_loop track=-7.736e-05 pred=-8.188e-05 lag1=0.188 wall=0.3s
[2026-05-05T00:26:57+00:00]   done seed=2997 H=0.3 closed_loop track=-2.519e-06 pred=-1.835e-05 lag1=0.188 wall=0.4s
[2026-05-05T00:26:57+00:00]   done seed=3034 H=0.3 open_loop track=-7.730e-05 pred=-8.211e-05 lag1=-0.340 wall=0.3s
[2026-05-05T00:26:58+00:00]   done seed=3034 H=0.3 closed_loop track=-6.645e-06 pred=-1.088e-05 lag1=-0.340 wall=0.4s
[2026-05-05T00:26:58+00:00]   done seed=3071 H=0.3 open_loop track=-7.908e-05 pred=-8.360e-05 lag1=-0.300 wall=0.3s
[2026-05-05T00:26:58+00:00]   done seed=3071 H=0.3 closed_loop track=-2.742e-06 pred=-1.197e-05 lag1=-0.300 wall=0.4s
[2026-05-05T00:26:59+00:00]   done seed=3108 H=0.3 open_loop track=-8.142e-05 pred=-8.561e-05 lag1=-0.299 wall=0.3s
[2026-05-05T00:26:59+00:00]   done seed=3108 H=0.3 closed_loop track=-4.437e-06 pred=-1.137e-05 lag1=-0.299 wall=0.4s
[2026-05-05T00:26:59+00:00]   done seed=3145 H=0.3 open_loop track=-8.088e-05 pred=-8.410e-05 lag1=-0.387 wall=0.3s
[2026-05-05T00:27:00+00:00]   done seed=3145 H=0.3 closed_loop track=-3.077e-06 pred=-8.375e-06 lag1=-0.387 wall=0.4s
[2026-05-05T00:27:00+00:00]   done seed=3182 H=0.3 open_loop track=-8.214e-05 pred=-8.672e-05 lag1=-0.057 wall=0.3s
[2026-05-05T00:27:00+00:00]   done seed=3182 H=0.3 closed_loop track=-3.962e-06 pred=-1.116e-05 lag1=-0.057 wall=0.4s
[2026-05-05T00:27:01+00:00]   done seed=3219 H=0.3 open_loop track=-8.383e-05 pred=-8.752e-05 lag1=-0.493 wall=0.3s
[2026-05-05T00:27:01+00:00]   done seed=3219 H=0.3 closed_loop track=-5.066e-06 pred=-7.984e-06 lag1=-0.493 wall=0.4s
[2026-05-05T00:27:01+00:00]   done seed=3256 H=0.3 open_loop track=-8.089e-05 pred=-8.554e-05 lag1=0.164 wall=0.3s
[2026-05-05T00:27:02+00:00]   done seed=3256 H=0.3 closed_loop track=-3.562e-06 pred=-7.476e-06 lag1=0.164 wall=0.4s
[2026-05-05T00:27:02+00:00]   done seed=3293 H=0.3 open_loop track=-8.525e-05 pred=-8.967e-05 lag1=-0.060 wall=0.3s
[2026-05-05T00:27:02+00:00]   done seed=3293 H=0.3 closed_loop track=-6.121e-06 pred=-6.784e-06 lag1=-0.060 wall=0.4s
[2026-05-05T00:27:02+00:00]   done seed=3330 H=0.3 open_loop track=-8.340e-05 pred=-8.743e-05 lag1=0.113 wall=0.3s
