block,config,seed,n_train_steps,fit_before,fit_after,delta,v_mean,cross_e_frac_end,wall_sec
stdp_regression_bisect,stdp_only_n125000,13,125000,-0.0002580232103355229,-0.00017041391402017325,8.760929631534964e-05,0.28708064556121826,0.411865234375,10.77524926600745
stdp_regression_bisect,stdp_only_n125000,14,125000,-0.00026159570552408695,-0.00017719357856549323,8.440212695859373e-05,0.2667175531387329,0.4049072265625,10.598978798952885
stdp_regression_bisect,stdp_only_n125000,15,125000,-0.00027670228155329823,-0.00017856228805612773,9.813999349717051e-05,0.25456535816192627,0.3956298828125,10.566392089007422
stdp_regression_bisect,stdp_only_n125000,16,125000,-0.00026537387748248875,-0.00017754248983692378,8.783138764556497e-05,0.2888219952583313,0.40087890625,10.190876114007551
stdp_regression_bisect,stdp_only_n125000,17,125000,-0.00024910378851927817,-0.00017718841263558716,7.191537588369101e-05,0.27792099118232727,0.4024658203125,9.553613180993125
stdp_regression_bisect,stdp_only_n125000,18,125000,-0.00025129641289822757,-0.00017362073413096368,7.767567876726389e-05,0.23806557059288025,0.400634765625,9.809307982970495
stdp_regression_bisect,stdp_only_n125000,19,125000,-0.0002593408862594515,-0.00018388217722531408,7.545870903413743e-05,0.2935082018375397,0.4013671875,9.72204259695718
stdp_regression_bisect,stdp_only_n150000,0,150000,-0.0002585904148872942,-0.00018578431627247483,7.280609861481935e-05,0.22561229765415192,0.4088134765625,12.11716709495522
stdp_regression_bisect,stdp_only_n150000,1,150000,-0.0002678088203538209,-0.00018870230996981263,7.910651038400829e-05,0.2961118221282959,0.401123046875,10.242632185982075
stdp_regression_bisect,stdp_only_n150000,2,150000,-0.0002715807349886745,-0.0001827648375183344,8.881589747034013e-05,0.248835951089859,0.3956298828125,10.33835438604001
stdp_regression_bisect,stdp_only_n150000,3,150000,-0.0002791685692500323,-0.00018300786905456334,9.616070019546896e-05,0.3055777847766876,0.396728515625,10.469105363998096
stdp_regression_bisect,stdp_only_n150000,4,150000,-0.00026649280334822834,-0.0001792775874491781,8.721521589905024e-05,0.3650602102279663,0.4075927734375,10.222540572984144
stdp_regression_bisect,stdp_only_n150000,5,150000,-0.00027622285415418446,-0.00017820466018747538,9.801819396670908e-05,0.2421998679637909,0.40185546875,10.491756503994111
stdp_regression_bisect,stdp_only_n150000,6,150000,-0.0002665017091203481,-0.00019138430070597678,7.511740841437131e-05,0.2826896905899048,0.399169921875,10.399300369026605
stdp_regression_bisect,stdp_only_n150000,7,150000,-0.00025941283092834055,-0.00017988715262617916,7.95256783021614e-05,0.24466392397880554,0.3970947265625,10.540279059961904
stdp_regression_bisect,stdp_only_n150000,8,150000,-0.00026223217719234526,-0.00018224550876766443,7.998666842468083e-05,0.2509649395942688,0.404541015625,10.47436170896981
stdp_regression_bisect,stdp_only_n150000,9,150000,-0.00026219317805953324,-0.00018142786575481296,8.076531230472028e-05,0.25548622012138367,0.4058837890625,10.181520654004999
stdp_regression_bisect,stdp_only_n150000,10,150000,-0.0002691989648155868,-0.00017899603699333966,9.020292782224715e-05,0.2627483606338501,0.3985595703125,10.455489126034081
stdp_regression_bisect,stdp_only_n150000,11,150000,-0.00026426458498463035,-0.0001948627468664199,6.940183811821043e-05,0.23203258216381073,0.4010009765625,10.381834511994384
stdp_regression_bisect,stdp_only_n150000,12,150000,-0.0002644306805450469,-0.00018205853120889515,8.237214933615178e-05,0.2703670859336853,0.39794921875,10.691789856005926
stdp_regression_bisect,stdp_only_n150000,13,150000,-0.0002580232103355229,-0.00018271738372277468,7.53058266127482e-05,0.24196727573871613,0.411865234375,10.95583313604584
stdp_regression_bisect,stdp_only_n150000,14,150000,-0.00026159570552408695,-0.0001808628876460716,8.073281787801534e-05,0.2376602292060852,0.4049072265625,10.835945532016922
stdp_regression_bisect,stdp_only_n150000,15,150000,-0.00027670228155329823,-0.00018315370834898204,9.35485732043162e-05,0.21729694306850433,0.3956298828125,11.225140502036083
stdp_regression_bisect,stdp_only_n150000,16,150000,-0.00026537387748248875,-0.00019019830506294966,7.51755724195391e-05,0.25843191146850586,0.40087890625,10.442769843968563
stdp_regression_bisect,stdp_only_n150000,17,150000,-0.00024910378851927817,-0.0001860599295469001,6.304385897237808e-05,0.2750667333602905,0.4024658203125,10.376320965006016
stdp_regression_bisect,stdp_only_n150000,18,150000,-0.00025129641289822757,-0.00018400563567411155,6.729077722411603e-05,0.24780131876468658,0.400634765625,10.29629455995746
stdp_regression_bisect,stdp_only_n150000,19,150000,-0.0002593408862594515,-0.0001922770170494914,6.70638692099601e-05,0.2854650318622589,0.4013671875,10.33573490899289
stdp_regression_bisect,stdp_only_n175000,0,175000,-0.0002585904148872942,-0.0001729048090055585,8.568560588173568e-05,0.26600849628448486,0.4088134765625,12.352551155956462
stdp_regression_bisect,stdp_only_n175000,1,175000,-0.0002678088203538209,-0.00018445559544488788,8.335322490893304e-05,0.21758314967155457,0.401123046875,11.459852659027092
stdp_regression_bisect,stdp_only_n175000,2,175000,-0.0002715807349886745,-0.00018382295093033463,8.77577840583399e-05,0.2662349343299866,0.3956298828125,11.037392051017378
