seed,t_steps,condition,fitness,wall_sec
7881,10000,open_loop,-1.570580e-04,0.39
7881,10000,gain=200,-3.668605e-05,0.45
7918,10000,open_loop,-1.568654e-04,0.39
7918,10000,gain=200,-3.668605e-05,0.45
7955,10000,open_loop,-1.563539e-04,0.39
7955,10000,gain=200,-3.668605e-05,0.45
7992,10000,open_loop,-1.568917e-04,0.39
7992,10000,gain=200,-3.668605e-05,0.45
8029,10000,open_loop,-1.556636e-04,0.39
8029,10000,gain=200,-3.668605e-05,0.45
8066,10000,open_loop,-1.577316e-04,0.39
8066,10000,gain=200,-3.668605e-05,0.45
8103,10000,open_loop,-1.565963e-04,0.39
8103,10000,gain=200,-3.668605e-05,0.45
8140,10000,open_loop,-1.562233e-04,0.39
8140,10000,gain=200,-3.668605e-05,0.45
8177,10000,open_loop,-1.577522e-04,0.39
8177,10000,gain=200,-3.668605e-05,0.45
8214,10000,open_loop,-1.564554e-04,0.38
8214,10000,gain=200,-3.668605e-05,0.45
8251,10000,open_loop,-1.565007e-04,0.39
8251,10000,gain=200,-3.668605e-05,0.45
8288,10000,open_loop,-1.565214e-04,0.39
8288,10000,gain=200,-3.668605e-05,0.45
8325,10000,open_loop,-1.582967e-04,0.39
8325,10000,gain=200,-3.668605e-05,0.45
8362,10000,open_loop,-1.558486e-04,0.38
8362,10000,gain=200,-3.668605e-05,0.45
8399,10000,open_loop,-1.556385e-04,0.39
8399,10000,gain=200,-3.668605e-05,0.45
8436,10000,open_loop,-1.573706e-04,0.39
8436,10000,gain=200,-3.668605e-05,0.45
8473,10000,open_loop,-1.561941e-04,0.39
8473,10000,gain=200,-3.668605e-05,0.45
8510,10000,open_loop,-1.566195e-04,0.39
8510,10000,gain=200,-3.668605e-05,0.45
8547,10000,open_loop,-1.555851e-04,0.39
8547,10000,gain=200,-3.668605e-05,0.46
8584,10000,open_loop,-1.568799e-04,0.38
8584,10000,gain=200,-3.668605e-05,0.45
8621,10000,open_loop,-1.563897e-04,0.39
8621,10000,gain=200,-3.668605e-05,0.45
8658,10000,open_loop,-1.563155e-04,0.39
8658,10000,gain=200,-3.668605e-05,0.45
8695,10000,open_loop,-1.572325e-04,0.39
8695,10000,gain=200,-3.668605e-05,0.45
8732,10000,open_loop,-1.553724e-04,0.39
8732,10000,gain=200,-3.668605e-05,0.45
8769,10000,open_loop,-1.581408e-04,0.39
8769,10000,gain=200,-3.668605e-05,0.45
8806,10000,open_loop,-1.569697e-04,0.39
8806,10000,gain=200,-3.668605e-05,0.45
8843,10000,open_loop,-1.561837e-04,0.39
8843,10000,gain=200,-3.668605e-05,0.46
8880,10000,open_loop,-1.567057e-04,0.39
8880,10000,gain=200,-3.668605e-05,0.46
8917,10000,open_loop,-1.588392e-04,0.39
8917,10000,gain=200,-3.668605e-05,0.45
8954,10000,open_loop,-1.564386e-04,0.39
8954,10000,gain=200,-3.668605e-05,0.45
8991,10000,open_loop,-1.571307e-04,0.39
8991,10000,gain=200,-3.668605e-05,0.45
9028,10000,open_loop,-1.566673e-04,0.39
9028,10000,gain=200,-3.668605e-05,0.46
9065,10000,open_loop,-1.564382e-04,0.39
9065,10000,gain=200,-3.668605e-05,0.45
9102,10000,open_loop,-1.571042e-04,0.41
9102,10000,gain=200,-3.668605e-05,0.45
9139,10000,open_loop,-1.572267e-04,0.39
9139,10000,gain=200,-3.668605e-05,0.46
9176,10000,open_loop,-1.576702e-04,0.38
9176,10000,gain=200,-3.668605e-05,0.45
9213,10000,open_loop,-1.558534e-04,0.39
9213,10000,gain=200,-3.668605e-05,0.45
9250,10000,open_loop,-1.565457e-04,0.39
9250,10000,gain=200,-3.668605e-05,0.45
9287,10000,open_loop,-1.556796e-04,0.39
9287,10000,gain=200,-3.668605e-05,0.45
9324,10000,open_loop,-1.559728e-04,0.39
9324,10000,gain=200,-3.668605e-05,0.45
9361,10000,open_loop,-1.580048e-04,0.39
9361,10000,gain=200,-3.668605e-05,0.46
9398,10000,open_loop,-1.569906e-04,0.39
9398,10000,gain=200,-3.668605e-05,0.45
9435,10000,open_loop,-1.562175e-04,0.38
9435,10000,gain=200,-3.668605e-05,0.45
9472,10000,open_loop,-1.559756e-04,0.59
9472,10000,gain=200,-3.668605e-05,0.45
9509,10000,open_loop,-1.565072e-04,0.39
9509,10000,gain=200,-3.668605e-05,0.45
9546,10000,open_loop,-1.556108e-04,0.39
9546,10000,gain=200,-3.668605e-05,0.45
9583,10000,open_loop,-1.551177e-04,0.39
9583,10000,gain=200,-3.668605e-05,0.45
9620,10000,open_loop,-1.569622e-04,0.39
9620,10000,gain=200,-3.668605e-05,0.45
9657,10000,open_loop,-1.576314e-04,0.39
9657,10000,gain=200,-3.668605e-05,0.45
9694,10000,open_loop,-1.564810e-04,0.39
9694,10000,gain=200,-3.668605e-05,0.45
9731,10000,open_loop,-1.567843e-04,0.39
9731,10000,gain=200,-3.668605e-05,0.45
9768,10000,open_loop,-1.579470e-04,0.39
9768,10000,gain=200,-3.668605e-05,0.45
9805,10000,open_loop,-1.566634e-04,0.39
9805,10000,gain=200,-3.668605e-05,0.45
9842,10000,open_loop,-1.559453e-04,0.39
9842,10000,gain=200,-3.668605e-05,0.45
9879,10000,open_loop,-1.576902e-04,0.39
9879,10000,gain=200,-3.668605e-05,0.45
9916,10000,open_loop,-1.570128e-04,0.39
