block,config,seed,plasticity_rate,init_v_mean,fit_before,fit_after,delta,v_mean,cross_e_frac_end,valence_mean,wall_sec
step16_multiseed,step16_rate1.0_ivm0.2,2,1.0,0.2,-0.0001999306696234271,-0.0001894803426694125,1.04503269540146e-05,0.17153982818126678,0.3956298828125,0.3193299174308777,1.5131589290103875
step16_multiseed,step16_rate1.0_ivm0.2,3,1.0,0.2,-0.0002038575621554628,-0.00019410568347666413,9.751878678798676e-06,0.16431188583374023,0.396728515625,0.3101212680339813,1.4708937520044856
step16_multiseed,step16_rate1.0_ivm0.2,4,1.0,0.2,-0.00020037814101669937,-0.00019045978842768818,9.918352589011192e-06,0.15951374173164368,0.4075927734375,0.3089820146560669,1.4626057589775883
step16_multiseed,step16_rate1.0_ivm1.0,0,1.0,1.0,-0.0002585904148872942,-0.00022142042871564627,3.7169986171647906e-05,0.8480982184410095,0.4088134765625,0.25679662823677063,1.475839969003573
step16_multiseed,step16_rate1.0_ivm1.0,1,1.0,1.0,-0.0002678088203538209,-0.0002249852113891393,4.2823608964681625e-05,0.8566418886184692,0.401123046875,0.24981315433979034,1.4733890269999392
step16_multiseed,step16_rate1.0_ivm1.0,2,1.0,1.0,-0.0002715807349886745,-0.00022628837905358523,4.529235593508929e-05,0.8403961658477783,0.3956298828125,0.251260906457901,1.4666298319934867
step16_multiseed,step16_rate1.0_ivm1.0,3,1.0,1.0,-0.0002791685692500323,-0.00023673599935136735,4.243256989866495e-05,0.8589075207710266,0.396728515625,0.23762723803520203,1.4831919969874434
step16_multiseed,step16_rate1.0_ivm1.0,4,1.0,1.0,-0.00026649280334822834,-0.00022329708735924214,4.3195715988986194e-05,0.8369919061660767,0.4075927734375,0.25212615728378296,1.4750553969643079
step16_multiseed,step16_rate1.0_ivm1.8,0,1.0,1.8,-0.00029757060110569,-0.000257719773799181,3.985082730650902e-05,1.6074138879776,0.4088134765625,0.22150474786758423,1.4699143600300886
step16_multiseed,step16_rate1.0_ivm1.8,1,1.0,1.8,-0.00029898606589995325,-0.00026528676971793175,3.36992961820215e-05,1.6283643245697021,0.401123046875,0.21014301478862762,1.4710227870382369
step16_multiseed,step16_rate1.0_ivm1.8,2,1.0,1.8,-0.00032103469129651785,-0.0002804127288982272,4.0621962398290634e-05,1.6207565069198608,0.3956298828125,0.2037772387266159,1.481650247995276
step16_multiseed,step16_rate1.0_ivm1.8,3,1.0,1.8,-0.0003228065907023847,-0.0002920602564699948,3.074633423238993e-05,1.6359467506408691,0.396728515625,0.19196265935897827,1.4768732310039923
step16_multiseed,step16_rate1.0_ivm1.8,4,1.0,1.8,-0.0003064005577471107,-0.00027288487763144076,3.3515680115669966e-05,1.6218020915985107,0.4075927734375,0.20788036286830902,1.4937747369986027
step16_multiseed,step16_rate3.0_ivm0.2,0,3.0,0.2,-0.00020128852338530123,-0.0001920002541737631,9.288269211538136e-06,0.19790798425674438,0.4088134765625,0.3144325017929077,1.479024946980644
step16_multiseed,step16_rate3.0_ivm0.2,1,3.0,0.2,-0.00020177439728286117,-0.00019294254889246076,8.83184839040041e-06,0.21974517405033112,0.401123046875,0.3112792372703552,1.4757140279980376
step16_multiseed,step16_rate3.0_ivm0.2,2,3.0,0.2,-0.0001999306696234271,-0.00019086980319116265,9.060866432264447e-06,0.2308884859085083,0.3956298828125,0.31953030824661255,1.4681700320215896
step16_multiseed,step16_rate3.0_ivm0.2,3,3.0,0.2,-0.0002038575621554628,-0.0001967316202353686,7.125941920094192e-06,0.20190849900245667,0.396728515625,0.31170666217803955,1.5142894189921208
